timestamp,frame,mode,centroid_yaw,action_zone_yaw,raw_delta_deg,target_yaw,bias_applied_deg,confidence,action_intensity_score,breakaway_score,switch_of_play_score,lead_deg,recommended_fov,subgroup_size,subgroup_track_ids,comp_sub_speed_norm,comp_coherence,comp_main_speed_norm,comp_sep_growth,comp_size_penalty,reason_code,reason
41.041,1230,follow,-3.06,1.64,4.7,-5.39,-2.33,0.906,0.917,0.0,0.21,-7.26,88.2,0,,0.0,0.0,0.124,0.0,0.0,active,"steady-state: zone 1.6 vs centroid -3.1, bias -2.3deg (conf 0.91)"
41.541,1245,follow,-1.58,1.19,2.77,4.47,6.05,0.883,0.933,0.0,0.695,4.09,95.4,0,,0.0,0.0,0.103,0.0,0.0,active,switch of play: score 0.70; bias +6.1deg applied
42.042,1260,follow,1.94,0.25,-1.69,-0.57,-2.51,0.796,0.926,0.0,0.38,-1.47,90.7,0,,0.0,0.0,0.155,0.0,0.0,active,"steady-state: zone 0.3 vs centroid 1.9, bias -2.5deg (conf 0.80)"
42.543,1275,follow,-3.71,-0.33,3.38,-0.65,3.06,0.892,0.927,0.0,0.437,0.05,91.5,0,,0.0,0.0,0.148,0.0,0.0,active,"steady-state: zone -0.3 vs centroid -3.7, bias +3.1deg (conf 0.89)"
43.043,1290,follow,1.74,0.15,-1.59,2.05,0.31,0.823,0.938,0.0,0.772,1.97,96.6,0,,0.0,0.0,0.141,0.0,0.0,active,switch of play: score 0.77; bias +0.3deg applied
43.544,1305,follow,49.69,3.42,-46.27,34.69,-15.0,0.895,0.946,0.877,0.923,6.75,98.8,3,3;11;30,0.099,0.998,0.215,0.0,0.0,active,"breakaway: subgroup(n=3, breakaway=0.88) vs main cluster; bias -15.0deg applied"
44.044,1320,follow,18.04,5.32,-12.72,7.47,-10.57,0.798,0.92,0.0,0.303,-0.52,89.5,0,,0.0,0.0,0.159,0.0,0.0,active,"steady-state: zone 5.3 vs centroid 18.0, bias -10.6deg (conf 0.80)"
44.544,1335,follow,14.54,6.79,-7.75,8.13,-6.41,0.889,0.928,0.0,0.513,0.54,92.7,0,,0.0,0.0,0.167,0.0,0.0,active,switch of play: score 0.51; bias -6.4deg applied
45.045,1350,follow,20.2,8.97,-11.23,12.88,-7.32,0.868,0.911,0.0,0.107,2.8,87.0,0,,0.0,0.0,0.136,0.0,0.0,active,"steady-state: zone 9.0 vs centroid 20.2, bias -7.3deg (conf 0.87)"
45.546,1365,follow,18.24,9.63,-8.61,9.48,-8.76,0.847,0.912,0.0,0.164,-1.74,87.5,0,,0.0,0.0,0.308,0.0,0.0,active,"steady-state: zone 9.6 vs centroid 18.2, bias -8.8deg (conf 0.85)"
46.046,1380,follow,-0.08,9.26,9.34,5.45,5.53,0.736,0.905,0.0,0.228,-1.83,89.0,0,,0.0,0.0,0.123,0.0,0.0,active,"steady-state: zone 9.3 vs centroid -0.1, bias +5.5deg (conf 0.74)"
46.547,1395,follow,-1.67,9.06,10.73,6.8,8.47,0.781,0.915,0.0,0.139,0.11,88.3,0,,0.0,0.0,0.122,0.0,0.0,active,"steady-state: zone 9.1 vs centroid -1.7, bias +8.5deg (conf 0.78)"
47.047,1410,follow,-3.91,7.15,11.06,1.96,5.87,0.841,0.931,0.0,0.623,-4.08,94.3,0,,0.0,0.0,0.118,0.0,0.0,active,switch of play: score 0.62; bias +5.9deg applied
47.547,1425,follow,-7.19,2.67,9.86,-5.22,1.97,0.801,0.929,0.0,0.557,-7.4,93.3,0,,0.0,0.0,0.115,0.0,0.0,active,switch of play: score 0.56; bias +2.0deg applied
48.048,1440,follow,-6.01,0.81,6.82,1.61,7.62,0.828,0.926,0.0,0.458,2.39,91.9,0,,0.0,0.0,0.117,0.0,0.0,active,"steady-state: zone 0.8 vs centroid -6.0, bias +7.6deg (conf 0.83)"
48.549,1455,follow,-2.51,-1.19,1.32,-2.92,-0.41,0.845,0.914,0.0,0.048,-1.81,87.3,0,,0.0,0.0,0.14,0.0,0.0,active,"steady-state: zone -1.2 vs centroid -2.5, bias -0.4deg (conf 0.85)"
49.049,1470,follow,1.26,-0.26,-1.52,4.24,2.98,0.83,0.911,0.0,0.042,5.11,87.5,0,,0.0,0.0,0.11,0.0,0.0,active,"steady-state: zone -0.3 vs centroid 1.3, bias +3.0deg (conf 0.83)"
49.55,1485,follow,-0.08,-1.07,-0.99,-3.35,-3.27,0.775,0.914,0.0,0.136,-3.23,88.4,0,,0.0,0.0,0.11,0.0,0.0,active,"steady-state: zone -1.1 vs centroid -0.1, bias -3.3deg (conf 0.78)"
50.05,1500,follow,-2.75,-1.1,1.65,-0.37,2.38,0.855,0.926,0.0,0.364,1.13,90.5,0,,0.0,0.0,0.152,0.0,0.0,active,"steady-state: zone -1.1 vs centroid -2.8, bias +2.4deg (conf 0.86)"
50.55,1515,follow,2.64,-2.31,-4.95,-4.2,-6.84,0.89,0.915,0.0,0.138,-2.73,87.1,0,,0.0,0.0,0.11,0.0,0.0,active,"steady-state: zone -2.3 vs centroid 2.6, bias -6.8deg (conf 0.89)"
51.051,1530,follow,1.22,-1.68,-2.9,1.53,0.31,0.901,0.929,0.0,0.569,3.25,93.5,0,,0.0,0.0,0.086,0.0,0.0,active,switch of play: score 0.57; bias +0.3deg applied
51.552,1545,follow,0.11,-1.91,-2.02,-2.9,-3.01,0.859,0.916,0.0,0.234,-1.48,88.5,0,,0.0,0.0,0.075,0.0,0.0,active,"steady-state: zone -1.9 vs centroid 0.1, bias -3.0deg (conf 0.86)"
52.052,1560,follow,-1.86,-2.28,-0.42,-2.67,-0.81,0.886,0.924,0.0,0.38,-0.49,90.7,0,,0.0,0.0,0.138,0.0,0.0,active,"steady-state: zone -2.3 vs centroid -1.9, bias -0.8deg (conf 0.89)"
52.553,1575,follow,4.77,-1.66,-6.43,1.14,-3.63,0.812,0.912,0.0,0.051,1.96,87.8,0,,0.0,0.0,0.133,0.0,0.0,active,"steady-state: zone -1.7 vs centroid 4.8, bias -3.6deg (conf 0.81)"
53.053,1590,follow,3.64,-1.31,-4.95,-0.82,-4.46,0.882,0.928,0.0,0.579,-0.11,93.7,0,,0.0,0.0,0.067,0.0,0.0,active,switch of play: score 0.58; bias -4.5deg applied
53.553,1605,follow,-2.34,-3.19,-0.85,-7.48,-5.14,0.904,0.924,0.0,0.391,-4.83,90.9,0,,0.0,0.0,0.105,0.0,0.0,active,"steady-state: zone -3.2 vs centroid -2.3, bias -5.1deg (conf 0.90)"
54.054,1620,follow,8.01,-1.98,-9.99,4.05,-3.96,0.896,0.911,0.0,0.069,5.56,86.6,0,,0.0,0.0,0.11,0.0,0.0,active,"steady-state: zone -2.0 vs centroid 8.0, bias -4.0deg (conf 0.90)"
54.555,1635,follow,1.14,-2.53,-3.67,-4.41,-5.55,0.824,0.913,0.0,0.138,-3.07,87.6,0,,0.0,0.0,0.097,0.0,0.0,active,"steady-state: zone -2.5 vs centroid 1.1, bias -5.6deg (conf 0.82)"
55.055,1650,follow,-5.83,-4.11,1.72,-6.71,-0.88,0.83,0.934,0.0,0.754,-2.78,96.3,0,,0.0,0.0,0.082,0.0,0.0,active,switch of play: score 0.75; bias -0.9deg applied
